pert_id	cmap_name
BRD-A52650764	ingenol
BRD-K07303502	BRD-K07303502
BRD-K50919475	BRD-K50919475
BRD-K49893531	BRD-K49893531
BRD-K84633118	BRD-K84633118
BRD-A76641868	BRD-A76641868
BRD-K60298771	BRD-K60298771
BRD2492 + BRD3308	BRD2492 + BRD3308
BRD-K29834313	myricitrin
BRD-K16300438	BRD-K16300438
BRD-K81144366	moxisylyte
BRD-K82562631	tolmetin
BRD-A03216249	mepivacaine
BRD-K34990278	BRD-K34990278
BRD-K41790758	BRD-K41790758
BRD-K70565046	BRD-K70565046
BRD-K67422388	BRD-K67422388
BRD-K66642899	BRD-K66642899
BRD-K16406336	methylene-blue
BRD-A47829399	artesunate
BRD-K87909389	alvocidib
BRD-K32830106	guanfacine
BRD-K04111260	raclopride
BRD-K62782754	tiotropium
BRD-A35763349	tylosin-tartrate
BRD-K64994968	progesterone
BRD-K57718010	pentylenetetrazol
BRD-K20971883	L-703606
BRD-K96613860	ICI-174864
BRD-K29064493	MK-801
BRD-K31931379	BRD-K31931379
BRD-K15050703	BRD-K15050703
BRD-K86048057	BRD-K86048057
BRD-K43357772	BRD-K43357772
BRD-K68326515	BRD-K68326515
BRD-K55260239	BRD-K55260239
BRD-K86618560	BRD-K86618560
BRD-K12184916	NVP-BEZ235
BRD-K21672174	Ro-28-1675
BRD-K54563688	4-AMINOPHENOL
BRD-K42828737	sunitinib
BRD-A35108200	dexamethasone
BRD-A59808129	guggulsterone
BRD-K02113016	olaparib
BRD-K01493881	apigenin
BRD-K15181602	BRD-K15181602
BRD-A81585303	acadesine
BRD-K40138205	BRD-K40138205
BRD-K26359746	BRD-K26359746
BRD-K17817744	BRD-K17817744
BRD-K96552587	BRD-K96552587
BRD-K28083085	BRD-K28083085
BRD-K87790979	BRD-K87790979
BRD-K15392449	SA-1457187
BRD-K44787412	BRD-K44787412
BRD-K46047563	BRD-K46047563
BRD-A24543851	nornicotine
BRD-K91145395	prostratin
BRD-K88677950	PD-198306
